census_tract,long,lat,Applications,One.to.Four.Unit,loan_type,mfrd,year,Hispanic,N.Hispanic,Native,Asian,Black,Pacific,White,Race_Other,Male,Female,Accepted,Denied,Action_Other,Purchase,Improvement,Purpose_Other,Lien.First,Lien.Sub,Med.Spread,Stdv.Spread,Hoepa,Med.Income,Stdv.Income,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,Stdv.Loan,Med.Loan,loan.return,app.growth
45035010504,-80.2326389,32.98148999,462,462,Conventional,17,2018,21,443,4,2,95,7,375,185,305,209,319,76,67,285,34,143,406,56,0.5135,0.975620694,462,68,46.57404026,6739,38.33,74500,97,1457,2340,99.14055606,195,3.448275862,-2.53164557
45035010505,-80.20402199,32.98838742,412,411,Conventional,6,2018,12,424,5,4,43,0,393,132,261,199,270,54,88,251,14,147,383,29,0.6595,1.062180502,412,65,78.26704481,6611,32.37,74500,99,1699,2350,97.74501434,185,8.823529412,-8.849557522
45035010603,-80.21838833,33.04546508,543,543,Conventional,91,2018,34,557,3,5,65,0,536,171,353,279,361,80,102,366,21,156,505,38,0.543,1.096108372,543,68,70.68049797,6949,28,74500,86,1724,2365,90.05954416,195,1.5625,-4.736842105
45035010604,-80.21341329,33.02386648,312,311,Conventional,6,2018,20,333,3,2,54,1,307,90,211,171,206,54,52,178,29,105,262,50,0.504,1.111826045,312,90,69.12333423,4197,24.42,74500,97,1009,1539,175.5908691,195,-2.5,1.960784314
45035010605,-80.21818191,33.00706946,586,584,Conventional,3,2018,25,606,2,7,47,4,578,193,365,295,419,98,69,356,37,193,531,55,0.687,0.919340456,586,59,41.0548204,8500,30.07,74500,93,1852,2710,140.6305181,175,11.11111111,-2.657807309
45035010606,-80.18865003,33.01066266,120,120,Conventional,0,2018,2,138,2,0,3,0,139,41,93,58,73,16,31,60,14,46,102,18,0.4255,0.880768418,120,106.5,103.6216604,1852,25.65,74500,135,529,786,210.6450012,285,22.58064516,20
45035010700,-80.17333312,33.02646631,266,265,Conventional,3,2018,14,275,1,3,47,2,246,84,167,140,163,41,62,149,17,100,239,27,0.518,1.087358818,266,70.5,78.05679089,5428,43.74,74500,55,1180,1988,130.2697312,165,20.4379562,-8.904109589
45035010801,-80.26186872,32.89712071,571,571,Conventional,11,2018,7,684,1,8,50,3,649,170,422,306,375,72,124,332,45,194,502,69,0.40395,1.151886238,571,102,72.54972992,5593,18.04,74500,138,1575,1884,130.1975451,255,4.938271605,24.9452954
45035010807,-80.18599945,32.96119763,387,387,Conventional,57,2018,21,413,2,3,83,4,360,129,254,221,209,101,77,239,27,121,353,34,0.468,1.208432064,387,72.5,56.84963218,4796,14.28,74500,133,1572,1889,109.886078,195,-3.9408867,20.9375
45035010808,-80.17882004,32.9744393,452,452,Conventional,17,2018,13,438,2,10,49,4,412,157,300,201,295,80,77,258,28,166,412,40,0.618,1.061111319,452,58,34.36652611,7219,22.18,74500,98,1751,2380,70.76477996,165,0.609756098,-5.833333333
45035010809,-80.16860151,32.99870025,304,304,Conventional,2,2018,21,288,0,5,32,0,274,123,174,157,206,44,54,191,16,97,271,33,0.697,0.961886419,304,64,55.08871508,3978,20.29,74500,115,1068,1228,68.18752529,175,2.339181287,11.35531136
45035010813,-80.16284088,32.97778757,551,548,Conventional,8,2018,38,534,3,12,116,2,455,164,334,275,346,106,99,337,31,183,498,53,0.771,0.923024164,551,58.5,43.72353402,9217,24.6,74500,89,1654,2544,325.1753569,165,6.451612903,29.95283019
45035010814,-80.13513954,32.98357936,514,511,Conventional,22,2018,34,444,6,4,87,4,378,260,267,242,358,83,73,319,18,177,481,33,0.701,1.189976139,514,57,33.55032038,6802,27.64,74500,78,1837,2367,93.31814538,165,13.01369863,-13.90284757
45035010815,-80.14630115,32.96476602,211,211,Conventional,1,2018,12,181,2,6,41,0,145,77,129,84,129,37,45,130,13,68,199,12,0.9545,0.929658628,211,52,38.25882791,3825,46.35,74500,104,586,934,57.92094941,125,1.62601626,28.65853659
45035010816,-80.13491196,32.95191053,996,996,Conventional,7,2018,92,938,5,48,206,8,759,378,635,455,703,126,167,664,37,295,910,86,0.51,0.95340976,996,67,67.23313829,12382,42.92,74500,111,2668,3454,73.46104818,205,2.5,-8.539944904
45035010817,-80.11606782,32.93715727,658,656,Conventional,0,2018,39,657,3,35,143,8,520,233,401,346,451,93,114,464,24,170,600,58,0.5375,1.079369504,658,77,74.70024565,4230,36.03,74500,142,1295,1731,789.82664,205,10.81081081,7.516339869
45035010818,-80.09788071,32.92375287,386,383,Conventional,47,2018,53,320,1,19,118,5,214,166,212,179,221,88,77,226,20,140,348,38,0.9225,1.332862406,386,55,93.34278113,8847,63.5,74500,76,1558,2701,153.8677406,145,-1.360544218,-18.56540084
45035010819,-80.13772021,32.92311876,321,321,Conventional,0,2018,18,335,2,15,62,2,278,102,214,159,221,39,61,206,10,105,294,27,0.423,0.779426352,321,81,51.64739342,4383,32.1,74500,137,1295,1455,108.1870568,215,-2.272727273,-13.94101877
45035010820,-80.10899466,32.90341116,481,479,Conventional,1,2018,22,462,8,16,104,1,366,166,294,219,301,95,85,244,29,208,428,53,0.556,1.000535692,481,70,54.28393703,7213,39.5,74500,127,1952,2241,847.5761321,185,1.928374656,3.21888412
45037970201,-82.08352799,33.79725254,66,66,Conventional,10,2018,0,69,0,1,3,0,66,26,40,33,34,18,14,28,7,31,60,6,0.6355,0.479772386,66,65,44.2671565,1880,29.41,62300,109,679,944,90.98630753,145,23.93162393,-16.4556962
45037970202,-81.94045664,33.8492552,164,163,Conventional,10,2018,5,186,1,1,38,1,155,36,92,102,91,41,32,78,7,79,151,13,0.6445,1.02717716,164,63.5,68.54591385,7368,59.2,62300,96,1415,2307,109.0132822,135,37.75510204,10.81081081
45037970300,-81.77318751,33.79630206,100,100,Conventional,10,2018,7,95,0,0,26,0,74,35,61,47,49,26,25,44,7,49,93,7,0.7025,1.415168046,100,52,65.87843494,4374,51.33,62300,76,1027,1939,66.168136,85,-19.04761905,-5.660377358
45037970400,-81.86661689,33.70292458,87,86,Conventional,22,2018,4,91,1,1,20,0,78,25,60,45,46,24,17,34,10,43,77,10,0.519,1.464900657,87,55.5,62.11347446,3338,55.12,62300,77,931,1364,87.37659798,105,-14.97975709,-16.34615385
45037970501,-81.94483899,33.65268552,188,188,Conventional,27,2018,3,203,3,1,25,0,188,61,133,90,119,34,35,122,10,56,170,18,0.51955,1.530803226,188,74,56.93694391,4335,38.41,62300,94,1109,1690,105.3231081,175,14.37908497,-25.09960159
45037970502,-82.02273064,33.62255469,294,294,Conventional,3,2018,6,331,5,0,26,0,315,80,203,142,189,54,51,142,19,133,263,31,0.486,0.881192696,294,77,55.92638104,5171,17.5,62300,146,1739,2112,107.411457,185,5.113636364,9.293680297
45039960100,-81.33359806,34.43158578,44,44,Conventional,6,2018,1,48,1,1,9,0,40,11,24,24,21,9,14,20,2,22,43,1,0.675,1.837175807,44,57,31.47809643,1782,89.23,68800,61,536,1097,98.7126438,110,27.90697674,-22.80701754
45039960200,-81.10771725,34.48081362,109,109,Conventional,17,2018,2,129,1,0,37,0,93,17,70,64,52,27,30,47,9,53,101,8,0.452,1.818444628,109,63,77.27123272,3598,53.39,68800,67,1173,1888,117.294365,85,-7.608695652,17.20430108
45039960300,-80.92022508,34.34598307,271,271,Conventional,40,2018,7,277,1,1,67,0,227,88,177,126,163,55,53,131,25,115,240,31,0.375,1.36776468,271,86,102.8281109,5811,47.84,68800,78,1809,3183,118.1827574,145,-8.227848101,-1.094890511
45039960400,-81.04942579,34.3646248,102,102,Conventional,5,2018,4,87,0,0,28,1,64,39,54,45,60,19,23,53,7,42,100,2,0.848,1.332181719,102,47.5,32.68202582,5697,61.77,68800,44,1174,2550,77.94717434,75,-0.662251656,-15
45039960500,-81.1751216,34.28711243,139,139,Conventional,60,2018,2,132,0,1,73,0,76,33,89,60,54,39,46,82,3,54,136,3,0.807,1.393774342,139,52,32.01129241,6220,73.07,68800,79,1845,2445,83.14364816,95,9.195402299,-14.72392638
45041000101,-79.82688547,34.22519561,144,143,Conventional,1,2018,9,148,2,11,32,0,113,34,94,70,109,19,16,102,3,39,131,13,0.4656,0.659962127,144,79,89.35085987,3164,26.2,53800,194,869,1022,90.96582583,175,21.52777778,-41.93548387
45041000102,-79.87681942,34.18950162,312,312,Conventional,0,2018,21,342,1,14,53,1,286,75,205,159,222,47,43,177,9,126,269,43,0.562,0.83131581,312,76,50.59039048,5727,20.52,53800,166,1703,2121,628.5499496,155,-13.40782123,15.98513011
45041000201,-79.82446374,34.19919526,121,121,Conventional,6,2018,4,143,0,16,12,0,122,28,91,61,81,22,18,66,3,52,109,12,0.316,0.777075856,121,92.5,140.8603405,2623,37.09,53800,189,711,909,152.0624962,205,-15.98360656,53.16455696
45041000202,-79.83131814,34.16784533,252,251,Conventional,2,2018,8,271,4,30,46,2,201,77,135,156,168,48,36,136,17,99,228,24,0.534,1.076926928,252,65,70.01789402,7511,29.7,53800,128,1766,2102,95.25476993,135,-3.571428571,-21.98142415
45041000300,-79.7387965,34.22971259,146,145,Conventional,21,2018,6,130,5,0,116,1,23,46,64,80,61,43,42,77,5,64,138,8,1.15375,1.429075122,146,42,29.32174771,4052,81.15,53800,96,1165,1908,153.1174553,95,6.741573034,-8.176100629
45041000400,-79.64265395,34.24692315,95,95,Conventional,16,2018,5,99,0,2,19,0,85,24,63,45,57,20,18,49,5,41,83,12,0.60855,1.40970732,95,62,117.7714991,5034,44.91,53800,114,1407,1940,91.73639141,85,-1.162790698,-31.15942029
45041000500,-79.657197,34.17278039,125,125,Conventional,20,2018,4,113,0,0,43,0,85,41,74,59,88,17,20,84,2,39,123,2,0.938,1.215664697,125,48,37.69273075,6075,59.93,53800,66,937,1930,57.97407652,115,10.57692308,-26.03550296
45041000600,-79.7528861,34.15467493,217,217,Conventional,3,2018,10,218,2,1,84,0,141,63,133,106,136,48,33,105,11,101,204,13,0.821,0.893789682,217,46,39.9879999,5180,44.36,53800,131,1351,1807,61.20350972,125,-0.793650794,11.8556701
45041000700,-79.75271826,34.18758946,15,14,Conventional,4,2018,0,9,0,0,11,0,1,5,5,9,3,9,3,5,4,6,14,1,5.28,0,15,46,45.35811917,2637,94.69,53800,37,312,1201,209.300422,45,7.142857143,-6.25
45041000800,-79.74724213,34.2077387,29,29,Conventional,1,2018,0,30,0,0,28,0,0,7,14,16,10,11,8,8,2,19,27,2,1.25,1.072275462,29,35,17.43633107,3644,97.61,53800,58,784,1645,43.08600632,65,8.333333333,38.0952381
45041000900,-79.78596361,34.20776244,19,16,Conventional,4,2018,1,17,0,0,16,0,2,10,10,8,9,10,0,9,1,9,18,1,1.359,0.721913372,19,79,33.01015495,3309,98.37,53800,39,372,1456,233.4247941,85,25,-9.523809524
45041001000,-79.76955021,34.19114042,41,38,Conventional,1,2018,1,43,1,0,9,0,32,11,24,20,27,8,6,24,4,13,39,2,0.523,1.083379649,41,58,63.75871007,2011,49.58,53800,52,185,665,128.4015234,115,41.97530864,-21.15384615
45041001100,-79.79613842,34.19075185,135,134,Conventional,4,2018,6,124,0,0,28,0,103,33,77,60,90,19,26,81,5,49,129,6,0.6835,1.143511345,135,58,83.71737051,4960,34.09,53800,85,774,1876,75.60575349,95,-5.940594059,-12.90322581
45041001200,-79.79052264,34.17974436,148,148,Conventional,0,2018,1,166,1,2,1,0,169,35,91,82,93,21,34,83,6,59,131,17,0.412,1.147912035,148,92,154.9148279,3521,12.21,53800,143,1011,1371,172.5355188,170,-6.849315068,12.12121212
45041001300,-79.80156066,34.1682754,115,115,Conventional,1,2018,4,123,1,8,19,0,97,36,68,68,81,15,19,73,6,36,105,10,0.751,0.963475239,115,48,64.82334269,3583,33.69,53800,109,976,1416,93.92979835,115,-6.12244898,-27.21518987
